,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
190,"Channa Mereya",Pritam,276969,https://open.spotify.com/track/0H2iJVgorRR0ZFgRqGUjUM
191,Samjhawan,"Jawad Ahmad",276748,https://open.spotify.com/track/0rk2X5TAhraBC5aCIXK2Rq
192,"Yaen Ennai Pirindhaai - Male","Sid Sriram",275096,https://open.spotify.com/track/2GYzXSeNa3Y0BfIfS1VJj3
193,"Sauda Khara Khara","Diljit Dosanjh",274211,https://open.spotify.com/track/4LLvxxkWtt818FNO3cbsdo
194,Stay,BTS,273723,https://open.spotify.com/track/3ndCsZfq8OVwwkz9mmZvUz
195,"Deep End",Fousheé,273596,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA
196,"Lovesick Girls",BLACKPINK,273466,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
197,Satya,DIVINE,272415,https://open.spotify.com/track/1xSCr5uIndaHKFdO4s2V6B
198,Yummy,"Justin Bieber",271479,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
199,"Choosale Kallaraa (From ""Sr Kalyanamandapam"")","Sid Sriram",271074,https://open.spotify.com/track/3dpAQLMeiz0AzSSYPNPyjW
200,Saibo,Sachin-Jigar,268843,https://open.spotify.com/track/6udC4b4jOSnHb9ItnXgKLR
