,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
114,HIGHEST IN THE ROOM,Travis Scott,390776,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,12/27/2019,1/3/2020,Italy
115,Amici,Massimo Pericolo,389156,https://open.spotify.com/track/7aVX95NjONZszSeb8vJZF3,12/27/2019,1/3/2020,Italy
116,Ti dedico il silenzio,Ultimo,388366,https://open.spotify.com/track/6GLmGfALwjzCaOiHwgfU7g,12/27/2019,1/3/2020,Italy
117,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,388271,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx,12/27/2019,1/3/2020,Italy
118,Sale (feat. Shari),Benji & Fede,385685,https://open.spotify.com/track/6lWKO0d9288UeeOfVBTCo7,12/27/2019,1/3/2020,Italy
119,Wanderlust!,Alfa,382750,https://open.spotify.com/track/0n84KQcjfidLn70aI15niR,12/27/2019,1/3/2020,Italy
120,I Don't Care (with Justin Bieber),Ed Sheeran,378582,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,12/27/2019,1/3/2020,Italy
121,CHEYENNE - feat. Charlie Charles,Francesca Michielin,376216,https://open.spotify.com/track/3tSiJqSOzHrp828XhPXkst,12/27/2019,1/3/2020,Italy
122,Stamm Fort (feat. Sfera Ebbasta),Luche,371305,https://open.spotify.com/track/7iTTQvztpfrDneVSX9IGBD,12/27/2019,1/3/2020,Italy
123,Lalala,Y2K,367374,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo,12/27/2019,1/3/2020,Italy
124,"Stay Away (feat. Ketama126, Side Baby & Franco126)",Night Skinny,366869,https://open.spotify.com/track/6oZJl2T2hdHnMYcZR6VJGb,12/27/2019,1/3/2020,Italy
125,Cometa (feat. Dosseh),Izi,366851,https://open.spotify.com/track/3jtslodAuHKSHlVYQLRAYu,12/27/2019,1/3/2020,Italy
126,Nisciun' (feat. Geolier),Rocco Hunt,364817,https://open.spotify.com/track/6nUJr7wd4hiPBLjC8Db2Cr,12/27/2019,1/3/2020,Italy
127,7 miliardi,Massimo Pericolo,363802,https://open.spotify.com/track/67vjEOTkBppbVLUUq5mEJz,12/27/2019,1/3/2020,Italy
128,C'est la vie,Achille Lauro,361706,https://open.spotify.com/track/6qrzETcLAmhkNW5PbkwcJI,12/27/2019,1/3/2020,Italy
129,5olo,tha Supreme,361174,https://open.spotify.com/track/1IenHo9pFzeysdcfbpAXUO,12/27/2019,1/3/2020,Italy
130,Torn,Ava Max,359586,https://open.spotify.com/track/2GdxQw8NwoeH8tKySg6nym,12/27/2019,1/3/2020,Italy
131,Senz E Me,Geolier,356465,https://open.spotify.com/track/35tcdhST5fj8WlVleES9Dy,12/27/2019,1/3/2020,Italy
132,Beautiful People (feat. Khalid),Ed Sheeran,355904,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,12/27/2019,1/3/2020,Italy
133,Una canzone che non so,Gazzelle,353377,https://open.spotify.com/track/6pDqB2dlzxB2i9Inu4h3wC,12/27/2019,1/3/2020,Italy
134,Yacht (feat. Luchè),Geolier,353050,https://open.spotify.com/track/780Drm5O3LVEktpgca0IVr,12/27/2019,1/3/2020,Italy
